test_name,category,real_vulnerability,cwe
BenchmarkTest00027,sqli,true,89
BenchmarkTest00294,cmdi,true,78
BenchmarkTest00436,sqli,false,89
BenchmarkTest00459,pathtraver,true,22
BenchmarkTest00478,xss,true,79
BenchmarkTest00569,cmdi,false,78
BenchmarkTest00694,ldapi,true,90
BenchmarkTest00708,hash,true,328
BenchmarkTest01028,pathtraver,false,22
BenchmarkTest01032,pathtraver,true,22
BenchmarkTest01247,hash,true,328
BenchmarkTest01515,xss,false,79
BenchmarkTest01553,sqli,false,89
BenchmarkTest01568,ldapi,true,90
BenchmarkTest01582,hash,false,328
BenchmarkTest01887,sqli,true,89
BenchmarkTest01940,cmdi,true,78
BenchmarkTest02104,ldapi,false,90
BenchmarkTest02328,xss,true,79
BenchmarkTest02696,xss,false,79
